DEPTH (nm),B,DEPTH (nm),Ge,DEPTH (nm),C,DEPTH (nm),As
,,124.494,0.015576522,208.52102,3.25396E+16,159.91749,2.38004E+17
,,125.224,0.018313904,209.46051,2.43843E+16,160.85699,3.68632E+17
,,125.954,0.017559106,210.41221,4.87545E+16,161.79648,2.83793E+17
,,126.684,0.014413132,211.3517,2.41926E+16,162.74817,2.83034E+17
,,127.414,0.017219441,212.29119,4.04537E+16,163.68767,3.24465E+17
,,128.144,0.021592419,350,1.00E+10,164.62716,3.80632E+17
,,128.874,0.018354143,,,165.56665,4.04021E+17
,,129.604,0.014183185,,,166.50615,3.13279E+17
,,130.334,0.013639408,,,167.44564,4.10452E+17
,,131.064,0.016974076,,,168.38513,3.54088E+17
,,131.794,0.019797201,,,169.31242,5.44594E+17
,,132.524,0.016115553,,,170.25192,4.15054E+17
,,133.254,0.014042982,,,171.19141,5.79169E+17
,,133.984,0.015643344,,,172.1309,5.03872E+17
,,134.714,0.017035485,,,173.0704,4.88694E+17
,,135.444,0.016860886,,,174.00989,4.89088E+17
,,136.174,0.015005595,,,174.96158,5.43731E+17
,,136.904,0.018900123,,,175.90108,5.68902E+17
,,137.634,0.022056512,,,176.84057,5.20089E+17
,,138.364,0.015500721,,,177.76786,5.85882E+17
,,139.094,0.015291073,,,178.70735,6.19798E+17
,,139.824,0.020609018,,,179.64685,6.07E+17
,,140.554,0.020373718,,,180.58634,7.20557E+17
,,141.284,0.019859147,,,181.52583,7.76611E+17
,,142.014,0.017926141,,,182.46533,7.59203E+17
,,142.744,0.01619263,,,183.40482,9.12934E+17
,,143.474,0.018200901,,,184.34432,7.83509E+17
,,144.204,0.019024815,,,185.28381,8.52014E+17
,,144.934,0.017065518,,,186.2355,8.25549E+17
,,145.664,0.016867595,,,187.16279,8.91276E+17
,,146.394,0.016031574,,,188.10229,9.56902E+17
,,147.124,0.013104339,,,189.04178,1.01319E+18
,,147.854,0.01571782,,,189.98127,9.09737E+17
,,148.584,0.01885498,,,190.92077,9.81684E+17
,,149.314,0.014392672,,,191.86026,1.15637E+18
,,150.044,0.010707562,,,192.79976,1.01528E+18
,,150.774,0.012280804,,,193.73925,9.85883E+17
,,151.504,0.015581321,,,194.67874,1.16542E+18
,,152.234,0.017044785,,,195.60603,1.20414E+18
,,152.964,0.013284358,,,196.54553,1.34994E+18
,,153.694,0.012648465,,,197.48502,1.1548E+18
,,154.424,0.018437117,,,198.43671,1.26235E+18
,,155.154,0.020605395,,,199.37621,1.28504E+18
,,155.884,0.017773062,,,200.3157,1.33888E+18
,,156.614,0.014870561,,,201.25519,1.41876E+18
,,157.344,0.015616363,,,202.19469,1.60592E+18
,,158.074,0.017934413,,,203.13418,1.49538E+18
,,158.804,0.016838588,,,204.07368,1.56105E+18
,,159.534,0.014459488,,,205.00097,1.6078E+18
,,160.264,0.014709056,,,205.94046,1.64284E+18
,,160.994,0.015484491,,,206.87996,1.69689E+18
,,161.724,0.014429925,,,207.81945,1.63396E+18
,,162.454,0.014388681,,,208.75894,1.77464E+18
,,163.184,0.015955002,,,209.69844,1.68933E+18
